sequence,session_id,position,raw_session_file,clip_id,target_pcm_path,expected_transcript,language,condition,source_type,length_class,source_query_id,text_validation
1,session-01,1,session-01-hi.m4a,hi-01,audio/hi-01.pcm,"मोह्स पैमाने पर सोने की कठोरता कितनी होती है?",hi,clean-short,human,short,100001,live_completed_allow_2_citations
2,session-01,2,session-01-hi.m4a,hi-02,audio/hi-02.pcm,"ऊर्ध्वाधर विभेदन क्या है?",hi,clean-short,human,short,100002,live_completed_allow_2_citations
3,session-01,3,session-01-hi.m4a,hi-03,audio/hi-03.pcm,"एस्टर-सी किससे बनाया जाता है",hi,clean-short,human,short,100003,live_completed_allow_2_citations
4,session-01,4,session-01-hi.m4a,hi-04,audio/hi-04.pcm,"क्या बराक ओबामा फिर से अमेरिकी राष्ट्रपति पद के लिए चुनाव लड़ सकते हैं?",hi,clean-long,human,long,100004,live_completed_allow_2_citations
5,session-01,5,session-01-hi.m4a,hi-05,audio/hi-05.pcm,"बी.आर.एल. किस देश की मुद्रा है",hi,clean-short,human,short,100005,live_completed_allow_2_citations
6,session-02,1,session-02-hien.m4a,hien-01,audio/hien-01.pcm,"Sled pull karne ke liye kis type ke dogs use hote hain?",hi-en,clean-long,human,long,100006,live_completed_allow_2_citations
7,session-02,2,session-02-hien.m4a,hien-02,audio/hien-02.pcm,"Xenotransplantation mein cells tissues ya organs kahan transfer hote hain?",hi-en,clean-long,human,long,100007,live_completed_allow_2_citations
8,session-02,3,session-02-hien.m4a,hien-03,audio/hien-03.pcm,"Succulent plants ka meaning kya hai?",hi-en,clean-short,human,short,100008,live_completed_allow_2_citations
9,session-02,4,session-02-hien.m4a,hien-04,audio/hien-04.pcm,"Hanker word ka meaning kya hai?",hi-en,clean-short,human,short,100009,live_completed_allow_2_citations
10,session-02,5,session-02-hien.m4a,hien-05,audio/hien-05.pcm,"Biology mein blotting ka matlab kya hai?",hi-en,clean-short,human,short,100010,live_completed_allow_2_citations
11,session-03,1,session-03-en.m4a,en-01,audio/en-01.pcm,"what is the net gain and loss",en,clean-short,human,short,100011,live_completed_allow_2_citations
12,session-03,2,session-03-en.m4a,en-02,audio/en-02.pcm,"which nhl team did jarmoir jagr play for",en,clean-short,human,short,100012,live_completed_allow_2_citations
13,session-03,3,session-03-en.m4a,en-03,audio/en-03.pcm,"whwen was the de lome letter published",en,clean-long,human,long,100013,live_completed_allow_2_citations
14,session-03,4,session-03-en.m4a,en-04,audio/en-04.pcm,"which judicial district is scot county",en,clean-short,human,short,100014,live_completed_allow_2_citations
15,session-03,5,session-03-en.m4a,en-05,audio/en-05.pcm,"what is d pathnathol",en,clean-short,human,short,100015,live_completed_allow_2_citations
